,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
,1,Positive,Early/Mid-Stage Symptoms,Presymptomatic,,Birthday Cards,"You are known in your family for sending birthday cards on time every year. This year, several of your family members got their cards late because you forgot to check your calendar. You think that you forgot about the cards because you have been busy. ",,You most likely forgot to send the cards due to...,Being busy,Developing symptoms of dementia,https://drive.google.com/file/d/14niEyLGSPNbQ2bhnl2fEHkfn466uITXJ/view?usp=sharing,779.jpg,"You are known in your family for sending birthday cards on time every year. This year, several of your family members got their cards late because you forgot to check your calendar. You think that you forgot about the cards because you have been busy. ",,You most likely forgot to send the cards due to...,Being busy,Developing symptoms of dementia,https://drive.google.com/file/d/14niEyLGSPNbQ2bhnl2fEHkfn466uITXJ/view?usp=sharing,779.jpg,all
,2,Positive,Early/Mid-Stage Symptoms,,,Beach Vacation,"You are on your family's annual beach vacation. Your nieces and nephews want you to go in the water with them, but you are nervous about staying balanced with the crash and force of the waves. You think about how they will be with you in the water and decide to go have some fun. ",,Swimming in the ocean with your nieces and nephews will be...,Amusing,Unpleasant,https://drive.google.com/file/d/1YOsR5ZkYgSkC00smfJhiJW70Ka1ZnVdK/view?usp=sharing,206.jpg,"You are on your family's annual beach vacation. Your nieces and nephews want you to go in the water with them, but you are nervous about staying balanced with the crash and force of the waves. You think about how they will be with you in the water and decide to go have some fun. ",,Swimming in the ocean with your nieces and nephews will be...,Amusing,Unpleasant,https://drive.google.com/file/d/1YOsR5ZkYgSkC00smfJhiJW70Ka1ZnVdK/view?usp=sharing,206.jpg,all
,3,Negative,Early/Mid-Stage Symptoms,,,Holding the Phone,,,,,,,,"You've been noticing your hands shaking badly when you hold your phone. Lately, you've even been dropping the phone on the ground as you're talking. When your phone rings in public, you avoid answering because you worry about feeling embarrassed.",,Your symptoms are affecting your social life...,Negatively,Positively,https://drive.google.com/file/d/1EToBS2Cxva4bbn7nPMI_9MwVgUMWp19m/view?usp=drive_link,775.jpg,all
,4,Positive,Early/Mid-Stage Symptoms,,,Loan Repayment,"You have spent years repaying loan debt from your house, schooling, and cars. As you notice more signs of HD, you worry that you won't have enough time to pay off the loans. You set up a meeting with a financial planner, helping you feel more prepared.",,Taking steps to assess your finances makes you feel...,Organized,Ruined,https://drive.google.com/file/d/1vVohWRoemj2MWU5POeXrUhaQkK2PxIZS/view?usp=drive_link,316.jpg,"You have spent years repaying loan debt from your house, schooling, and cars. As you notice more signs of HD, you worry that you won't have enough time to pay off the loans. You set up a meeting with a financial planner, helping you feel more prepared.",,Taking steps to assess your finances makes you feel...,Organized,Ruined,https://drive.google.com/file/d/1vVohWRoemj2MWU5POeXrUhaQkK2PxIZS/view?usp=drive_link,316.jpg,all
,5,Resilience/Negation,Early/Mid-Stage Symptoms,Presymptomatic,,Difficulty Baking,"For the first time since being diagnosed with HD, you find yourself confused by a familiar cake recipe. You ask your spouse a question about the recipe, and they go quiet. When you look into your spouse's eyes, their emotions are unclear.","You ask about how they're feeling, and they respond that they're trying to remember the answer to your question. This makes you feel comforted.","After your spouse explains their silence, you feel...",Comforted,Worried,https://drive.google.com/file/d/1QWo8EppDW6fRa-Pcx0ZMJHkZJRvayVBk/view?usp=drive_link,576.jpg,"For the first time since being diagnosed with PD, you find yourself confused by a familiar cake recipe. You ask your spouse a question about the recipe, and they go quiet. When you look into your spouse's eyes, their emotions are unclear.","You ask about how they're feeling, and they respond that they're trying to remember the answer to your question. This makes you feel comforted.","After your spouse explains their silence, you feel...",Comforted,Worried,https://drive.google.com/file/d/1QWo8EppDW6fRa-Pcx0ZMJHkZJRvayVBk/view?usp=drive_link,576.jpg,all
,6,Positive,Early/Mid-Stage Symptoms,,,Farmer's Market,"You enjoy going to the local farmer's market every week. Lately, you've been struggling to get the motivation to go, fearing that others will notice your HD symptoms, but you get the courage to go today. When you arrive at the market, you see many familiar faces that look at you with a smile.",,The familiar vendors greet you with...,Joy,Suspicion,https://drive.google.com/file/d/1fERurJqWGtqVPuX5G8_oKZSgoPY0IFC2/view?usp=drive_link,781.jpg,"You enjoy going to the local farmer's market every week. Lately, you've been struggling to get the motivation to go, fearing that others will notice your PD symptoms, but you get the courage to go today. When you arrive at the market, you see many familiar faces that look at you with a smile.",,The familiar vendors greet you with...,Joy,Suspicion,https://drive.google.com/file/d/1fERurJqWGtqVPuX5G8_oKZSgoPY0IFC2/view?usp=drive_link,781.jpg,all
,7,Positive,Early/Mid-Stage Symptoms,Presymptomatic,,Travel Dreams,"You didn't get to travel growing up due to your parents' financial strain. You always told yourself you would start traveling later in life, but your diagnosis of HD is giving you doubts. Despite the concern, you book your first flight, anticipating the opportunity to explore.",,The thought of traveling despite your diagnosis is...,Thrilling,Terrifying,https://drive.google.com/file/d/1mZlgROfbskF0IrMl9o_BNzD3h4_CH_lj/view?usp=sharing,782.jpg,"You haven't gotten to travel very much in your life due to family and other commitments. You always told yourself you would start traveling later in life, but your diagnosis of PD is giving you doubts. Despite the concern, you book a flight, anticipating the opportunity to explore.",,The thought of traveling despite your PD is...,Thrilling,Terrifying,https://drive.google.com/file/d/1mZlgROfbskF0IrMl9o_BNzD3h4_CH_lj/view?usp=sharing,782.jpg,all
,8,Positive,Early/Mid-Stage Symptoms,,,Disease and Identity,"You feel as if HD has become central to your identity. You have recently been feeling the burden of explaining your diagnosis in every conversation, especially with new people. You begin to understand your disease as something that can be both shared and kept private. ",,Sharing or withholding your HD from others is...,Your decision,Forced,https://drive.google.com/file/d/1TbHLyEa4ePyNMPx1TCIEVszkjXyboWdZ/view?usp=sharing,404.jpg,"You feel as if PD has become central to your identity. You have recently been feeling the burden of explaining your diagnosis in every conversation, especially with new people. You begin to understand your disease as something that can be both shared and kept private. ",,Sharing or withholding your PD from others is...,Your decision,Forced,https://drive.google.com/file/d/1TbHLyEa4ePyNMPx1TCIEVszkjXyboWdZ/view?usp=sharing,404.jpg,all
,9,Resilience/Negation,Early/Mid-Stage Symptoms,,,A Tricky Hike,"You love the great outdoors but have discovered recent unsteadiness in your footing when hiking. Friends notice the change and ask you about what's going on. When you answer, your friends realize that your fun escape has become a tricky challenge.",One of your friends finds the perfect walking stick and hands it to you. You continue on your walk feeling supported.,"With the walking stick, you feel...",Secure,Incapable,https://drive.google.com/open?id=10mxM5s6suI763Y6FdwkSPK6q4jk5ay81&usp=drive_copy,783.jpg,"You love the great outdoors but have discovered recent unsteadiness in your footing when hiking. Friends notice the change and ask you about what's going on. When you answer, your friends realize that your fun escape has become a tricky challenge.",One of your friends finds the perfect walking stick and hands it to you. You continue on your walk feeling supported.,"With the walking stick, you feel...",Secure,Incapable,https://drive.google.com/open?id=10mxM5s6suI763Y6FdwkSPK6q4jk5ay81&usp=drive_copy,783.jpg,all
,10,Positive,Early/Mid-Stage Symptoms,,,Hiking Hiatus,"You love to go hiking, but since your HD has been progressing, you fear going alone. You message a friend about your concerns, and they don't respond immediately. After a few minutes, your friend responds that your desire to continue hiking is good.",,Your friend thinks that your desire to continue an activity you love is...,Healthy,Foolish,https://drive.google.com/file/d/1Fh_XrPCwRNFh2FzdypCmaq_7RIwLe_A8/view?usp=sharing,784.jpg,"You love to go hiking, but since your PD has been progressing, you fear going alone. You message a friend about your concerns, and they don't respond immediately. After a few minutes, your friend responds that your desire to continue hiking is good.",,Your friend thinks that your desire to continue an activity you love is...,Healthy,Foolish,https://drive.google.com/file/d/1Fh_XrPCwRNFh2FzdypCmaq_7RIwLe_A8/view?usp=sharing,784.jpg,all
10,1,Write Your Own,,,,Write Your Own,,,,,,,,,,,,,,,write your own
11,1,Write Your Own,,,,Write Your Own,,,,,,,,,,,,,,,write your own
12,1,Write Your Own,,,,Write Your Own,,,,,,,,,,,,,,,write your own
13,1,Positive,Early/Mid-Stage Symptoms,,,New Conflict With Spouse,"You and your spouse have been married for a long time. Recently, you find yourself becoming easily angered with them over things that haven't made you upset in the past. Instead of fearing the future, you realize how your marriage is a commitment. ",,"Reflecting on your relationship with your spouse, you feel...",Committed,Afraid,https://drive.google.com/file/d/1kJQEqLT2dGgQ3N9MHemPXjw14vYn2gXA/view?usp=drive_link,582.jpg,"You and your spouse have been married for a long time. Recently, you find yourself becoming easily angered with them over things that haven't made you upset in the past. Instead of fearing the future, you realize how your marriage is a commitment. ",,"Reflecting on your relationship with your spouse, you feel...",Committed,Afraid,https://drive.google.com/file/d/1kJQEqLT2dGgQ3N9MHemPXjw14vYn2gXA/view?usp=drive_link,582.jpg,1
,2,Positive,Early/Mid-Stage Symptoms,,,Spiritual Journey,"Your spiritual journey has become more important to you in recent years. As your HD symptoms progress, you find it difficult to concentrate on developing your spiritual practice more. After taking some time to reflect on your struggles, you feel that your spiritual practice will adapt.",,Will you find new ways of continuing your spiritual practice?,Yes,No,https://drive.google.com/file/d/1zzk1hXFnjjd6W_SqoLXd8YdLoUwXC7Cb/view?usp=drive_link,785.jpg,"Your spiritual journey has become more important to you in recent years. As your HD symptoms progress, you find it difficult to concentrate on developing your spiritual practice more. After taking some time to reflect on your struggles, you feel that your spiritual practice will adapt.",,Will you find new ways of continuing your spiritual practice?,Yes,No,https://drive.google.com/file/d/1zzk1hXFnjjd6W_SqoLXd8YdLoUwXC7Cb/view?usp=drive_link,785.jpg,1
,3,Positive,Early/Mid-Stage Symptoms,Presymptomatic,,Unconditional Love,"Your marriage is extremely important to you. Lately, you have been lashing out at your spouse more often, and you worry about how this will affect your marriage. You seek the advice of a counselor and remember that your spouse's love is unconditional.",,Will your spouse stop loving you because of your recent behavior?,No,Yes,https://drive.google.com/file/d/1qKTtx2bVx8DqQ9d4X2HRUhr2D94BlzeH/view?usp=sharing,589.jpg,"Your marriage is extremely important to you. Lately, you have been lashing out at your spouse more often, and you worry about how this will affect your marriage. You seek the advice of a counselor and remember that your spouse's love is unconditional.",,Will your spouse stop loving you because of your recent behavior?,No,Yes,https://drive.google.com/file/d/1qKTtx2bVx8DqQ9d4X2HRUhr2D94BlzeH/view?usp=sharing,589.jpg,1
,4,Resilience/Negation,Early/Mid-Stage Symptoms,,,Symptoms at Shopping Mall,"While you're in a shopping mall, your chorea is worse than usual while trying on clothes. You wonder whether to call your doctor but worry they will think you are overreacting. You decide to call and make an appointment while feeling nervous.","The receptionist helps to comfort you and makes you the earliest appointment possible. After the call, you feel a little more relaxed.",Did you feel better after making the appointment?,Yes,No,https://drive.google.com/open?id=1S4_tIln2ypEgkcKJxhO7pKRgaA5rAlOh&usp=drive_copy,786.jpg,"While you're in a shopping mall, your tremor is worse than usual while trying on clothes. You wonder whether to call your doctor but worry they will think you are overreacting. You decide to call and make an appointment while feeling nervous.","The receptionist helps to comfort you and makes you the earliest appointment possible. After the call, you feel a little more relaxed.",Did you feel better after making the appointment?,Yes,No,https://drive.google.com/open?id=1S4_tIln2ypEgkcKJxhO7pKRgaA5rAlOh&usp=drive_copy,786.jpg,1
,5,Positive,Early/Mid-Stage Symptoms,,,Paying With Cash,"You are at the grocery store restocking food for the week. When you go to give cash to the cashier, all of your change falls to the floor. You look to the people behind you in line, and they offer to help.",,The people behind you in line are eager to...,Help you,Mock you,https://drive.google.com/file/d/1rAUARkKkD18KSIcr-Hxsy7DETzhnsKPT/view?usp=drive_link,787.jpg,"You are at the grocery store restocking food for the week. When you go to give cash to the cashier, all of your change falls to the floor. You look to the people behind you in line, and they offer to help.",,The people behind you in line are eager to...,Help you,Mock you,https://drive.google.com/file/d/1rAUARkKkD18KSIcr-Hxsy7DETzhnsKPT/view?usp=drive_link,787.jpg,1
,6,Negative,Early/Mid-Stage Symptoms,,,Meal Program Volunteering,"You love volunteering with the local senior meal program weekly. You slipped and hurt yourself a week ago, and your doctor told you that it would be at least a month before you should volunteer again. The thought of not helping others makes you feel sad.",,Your doctor's orders are...,Disappointing,Welcomed,https://drive.google.com/file/d/1aksMokeLxHN0YRxlZEnNW70d1SM8GAUr/view?usp=drive_link,788.jpg,"You love volunteering with the local senior meal program weekly. You slipped and hurt yourself a week ago, and your doctor told you that it would be at least a month before you should volunteer again. The thought of not helping others makes you feel sad.",,Your doctor's orders are...,Disappointing,Welcomed,https://drive.google.com/file/d/1aksMokeLxHN0YRxlZEnNW70d1SM8GAUr/view?usp=drive_link,788.jpg,1
,7,Positive,Early/Mid-Stage Symptoms,,,Moving to a New City,"Your spouse's job has taken you all over the country with new opportunities. Your spouse's boss approaches them at work asking if they can take a position a few hours away. The thought of a new city, friends, and even medical providers is exciting. ",,Moving to a new city with HD will be a/an...,Adventure,Burden,https://drive.google.com/file/d/1EEDauPaafVDUPBASldYVl2CbOQR9v9h4/view?usp=sharing,789.jpg,"Your spouse's job has taken you all over the country with new opportunities. Your spouse's boss approaches them at work asking if they can take a position a few hours away. The thought of a new city, friends, and even medical providers is exciting. ",,Moving to a new city with PD will be a/an...,Adventure,Burden,https://drive.google.com/file/d/1EEDauPaafVDUPBASldYVl2CbOQR9v9h4/view?usp=sharing,789.jpg,1
,8,Resilience/Negation,Early/Mid-Stage Symptoms,,,Lunch with New Friend,"You are meeting a new friend for lunch soon. You have recently been a bit messier when you eat, and you are worried they will judge you. When you begin to eat your food, you notice your new friend is looking at you strangely.","Your friend laughs and points out that the waiter accidentally switched your plates. As you giggle and slide your plate over to them, you feel relieved.",Was your new friend judging you for being a messy eater?,No,Yes,https://drive.google.com/file/d/1JYn32ljxRCNK4kO9LlEwt1NZt3XZtNcF/view?usp=drive_link,790.jpg,"You are meeting a new friend for lunch soon. You have recently been a bit messier when you eat, and you are worried they will judge you. When you begin to eat your food, you notice your new friend is looking at you strangely.","Your friend laughs and points out that the waiter accidentally switched your plates. As you giggle and slide your plate over to them, you feel relieved.",Was your new friend judging you for being a messy eater?,No,Yes,https://drive.google.com/file/d/1JYn32ljxRCNK4kO9LlEwt1NZt3XZtNcF/view?usp=drive_link,790.jpg,1
,9,Positive,Early/Mid-Stage Symptoms,,,April Proposal,"You have been dating someone seriously and are looking forward to the possibility of getting married — even though some people may think it's too ""late"" in life. On a warm April day, they propose to you at your favorite spot downtown. You say yes knowing HD will be something you get through together.",,"You are confident that as your HD progresses, your fiancé will...",Support you,Abandon you,https://drive.google.com/file/d/10JbbuK2ksBM5FEwnR21mTKSIg6-rGzhc/view?usp=drive_link,585.jpg,"You have been dating someone seriously and are looking forward to the possibility of getting married — even though some people may think it's too ""late"" in life. On a warm April day, they propose to you at your favorite spot downtown. You say yes knowing PD will be something you get through together.",,"You are confident that as your PD progresses, your fiancé will...",Support you,Abandon you,https://drive.google.com/file/d/10JbbuK2ksBM5FEwnR21mTKSIg6-rGzhc/view?usp=drive_link,585.jpg,1
,10,Positive,Early/Mid-Stage Symptoms,Romantic Relationships,,Intimacy and Communication,Your HD has been causing you to lose interest in intimacy with your spouse due to difficulty with movements. Your spouse has noticed this change and is upset with your lack of touch and care. You recognize you haven't voiced your concern to your spouse and decide to communicate.  ,,You respond to your spouse's upset reaction by... ,Communicating,Avoiding them,https://drive.google.com/file/d/1dz5K5f9Nv2rCWKi8gQna_B64L4xF1lpV/view?usp=drive_link,587.jpg,Your PD has been causing you to lose interest in intimacy with your spouse due to difficulty moving. Your spouse has noticed this change and is upset with your lack of touch and care. You recognize you haven't voiced your concern to your spouse and decide to communicate.  ,,You respond to your spouse's upset reaction by... ,Communicating,Avoiding them,https://drive.google.com/file/d/1dz5K5f9Nv2rCWKi8gQna_B64L4xF1lpV/view?usp=drive_link,587.jpg,1
14,1,Positive,Early/Mid-Stage Symptoms,,,Medical Presentation,"You are at an educational event about Huntington's disease, and one of the speakers is using unfamiliar medical terms. You feel lost, and you become nervous that you are the only person having trouble understanding the presentation. You look around at the people near you and notice that everyone else seems confused.",,Who is having trouble following the presentation?,Everyone,Just you,https://drive.google.com/file/d/1mDkkEgN6DM4uUXlBqKzoV3AT0Fc6OUwv/view?usp=sharing,126.jpg,"You are at an educational event about Parkinson's disease, and one of the speakers is using unfamiliar medical terms. You feel lost, and you become nervous that you are the only person having trouble understanding the presentation. You look around at the people near you and notice that everyone else seems confused.",,Who is having trouble following the presentation?,Everyone,Just you,https://drive.google.com/file/d/1mDkkEgN6DM4uUXlBqKzoV3AT0Fc6OUwv/view?usp=sharing,126.jpg,1
,2,Positive,Early/Mid-Stage Symptoms,,,Research Visit,"You are in a research study that requires multiple visits. You finish some of the exams with the research coordinator, and you feel that you aren't doing as well as you usually do. When the principal investigator comes in, they tell you that your participation is appreciated.",,Is the principal investigator thankful for your participation?,No,Yes,https://drive.google.com/file/d/1WUA_iuY9HxHRZBVvI8Hq39NskzbzC-0e/view?usp=sharing,438.jpg,"You are in a research study that requires multiple visits. You finish some of the exams with the research coordinator, and you feel that you aren't doing as well as you usually do. When the principal investigator comes in, they tell you that your participation is appreciated.",,Is the principal investigator thankful for your participation?,No,Yes,https://drive.google.com/file/d/1WUA_iuY9HxHRZBVvI8Hq39NskzbzC-0e/view?usp=sharing,438.jpg,1
,3,Positive,Early/Mid-Stage Symptoms,,,Research Study Risks,"You were recently invited to participate in an HD research study. As you review the study information and potential side effects, you begin to feel hesitant. After talking it over with the research coordinator, you decide that the risks of the study are low.",,The study's side effects are likely to be...,Mild,Severe,https://drive.google.com/file/d/1gclbTTycOL0tOGfng3Wopp-dcl3rqt_q/view?usp=drive_link,791.jpg,"You were recently invited to participate in a PD research study. As you review the study information and potential side effects, you begin to feel hesitant. After talking it over with the research coordinator, you decide that the risks of the study are low.",,The study's side effects are likely to be...,Mild,Severe,https://drive.google.com/file/d/1gclbTTycOL0tOGfng3Wopp-dcl3rqt_q/view?usp=drive_link,791.jpg,1
,4,Resilience/Negation,Early/Mid-Stage Symptoms,Presymptomatic,,Gardening Help,"You have a garden you're really proud of and enjoy working in every year. As you think about getting older, you wonder how gardening will change. You think about how your HD symptoms could prevent you from caring for your plants, and they'll die.","You remember that your sibling has always wanted to have their own garden, and you decide to invite them to help you with yours. This leaves you feeling optimistic.","In the future, your symptoms will cause your plants to...",Thrive,Die,https://drive.google.com/file/d/12P0td1H2ShhJHMZEM5Fpy-fIrvjoXKSd/view?usp=drive_link,792.jpg,"You have a garden you're really proud of and enjoy working in every year. As you think about getting older, you wonder how gardening will change. You think about how your HD symptoms could prevent you from caring for your plants, and they'll die.","You remember that your sibling has always wanted to have their own garden, and you decide to invite them to help you with yours. This leaves you feeling optimistic.","In the future, your symptoms will cause your plants to...",Thrive,Die,https://drive.google.com/file/d/12P0td1H2ShhJHMZEM5Fpy-fIrvjoXKSd/view?usp=drive_link,792.jpg,1
,5,Positive,Early/Mid-Stage Symptoms,Presymptomatic,,Visiting the Doctor's Office,"You're visiting the doctor for a follow-up appointment. As you describe some recent symptoms you've been having, you notice the doctor is typing a lot. When they look up at you, they have an expression of calmness.",,Do you feel that the doctor is comforting you?,Yes ,No,https://drive.google.com/file/d/1h9UxX4llrCqt8mPiUw6G53XTsaOKQb4Y/view?usp=drive_link,526.jpg,"You're visiting the doctor for a follow-up appointment. As you describe some recent symptoms you've been having, you notice the doctor is typing a lot. When they look up at you, they have an expression of calmness.",,Do you feel that the doctor is comforting you?,Yes ,No,https://drive.google.com/file/d/1h9UxX4llrCqt8mPiUw6G53XTsaOKQb4Y/view?usp=drive_link,526.jpg,1
,6,Resilience/Negation,Early/Mid-Stage Symptoms,Presymptomatic,,Finding Your Wallet,"After coming home from running errands, you can't find your wallet. Recently, you have struggled to control your emotions and become angry at the thought of someone stealing it. Later, you find the wallet in the car and feel annoyed.","You remember your therapist shared the 7/11 breathing exercise to help calm you down in moments like this. After finishing the breathing exercise, you feel better.",Are you using tools that will help you cope when you're annoyed?,Yes,No,https://drive.google.com/file/d/1amWEq9F65N5BAZlL-Y9liGQ8Sg8wMnEm/view?usp=drive_link,793.jpg,"After coming home from running errands, you can't find your wallet. Recently, you have struggled to control your emotions and become angry at the thought of someone stealing it. Later, you find the wallet in the car and feel annoyed.","You remember your therapist shared the 7/11 breathing exercise to help calm you down in moments like this. After finishing the breathing exercise, you feel better.",Are you using tools that will help you cope when you're annoyed?,Yes,No,https://drive.google.com/file/d/1amWEq9F65N5BAZlL-Y9liGQ8Sg8wMnEm/view?usp=drive_link,793.jpg,1
,7,Positive,Presymptomatic,Early/Mid-Stage Symptoms,,Fun With Film,"You have always loved taking film photos of nature, especially birds. Lately, you've been feeling that you can't track birds as well as you used to due to issues with vision. You decide that you can photograph plants or trees instead of birds and realizing this makes you happy.",,The possibility of continuing photography makes you feel...,Satisfied.,Unhappy.,https://drive.google.com/file/d/1AWadTgGM-rxF1g2BI4X19C_9ObLCLdZf/view?usp=drive_link,794.jpg,"You have always loved taking film photos of nature, especially birds. Lately, you've been feeling that you can't track birds as well as you used to due to issues with vision. You decide that you can photograph plants or trees instead of birds and realizing this makes you happy.",,The possibility of continuing photography makes you feel...,Satisfied.,Unhappy.,https://drive.google.com/file/d/1AWadTgGM-rxF1g2BI4X19C_9ObLCLdZf/view?usp=drive_link,794.jpg,1
,8,Negative,Early/Mid-Stage Symptoms,,,Family Dinner Fight,"You are about to enjoy a nice family dinner. Your siblings begin teasing each other about who should make the salad dressing, and you suddenly yell at everyone to shut up. Your sudden, unexpected burst of anger leaves family members feeling shocked.",,Your angry outburst caused your family to feel...,Stunned,Bored,https://drive.google.com/file/d/1a6ZquqsaNAlDerHoZnqtdAtK8uOE_hND/view?usp=drive_link,795.jpg,"You are about to enjoy a nice family dinner. Your siblings begin teasing each other about who should make the salad dressing, and you suddenly yell at everyone to shut up. Your sudden, unexpected burst of anger leaves family members feeling shocked.",,Your angry outburst caused your family to feel...,Stunned,Bored,https://drive.google.com/file/d/1a6ZquqsaNAlDerHoZnqtdAtK8uOE_hND/view?usp=drive_link,795.jpg,1
,9,Positive,Early/Mid-Stage Symptoms,,,Walking to the Kitchen,,,,,,,,"You walk into your kitchen and suddenly feel frozen in place. This has been happening more often and is confusing and worrying to you. While it feels uncontrollable, you know it will pass.
",,The freezing experience is...,Tolerable,Unbearable,https://drive.google.com/file/d/1CZc8qZTzI9zqBrOkRpjeAOfsQeWuqYoO/view?usp=drive_link,969.jpg,1
,10,Positive,Early/Mid-Stage Symptoms,,,Shopping Anxiety,,,,,,,,"You are pushing a full cart of groceries, and you've just reached your car in the parking lot. You are worried about your ability to unload some of the heavier items without falling, and your heart starts to race. As you start to feel out of control, you focus on deep breaths and remind yourself it will be alright.",,Your anxiety will...,Pass,Get stronger,https://drive.google.com/file/d/18VRCfl1RAhXyQVanZnRWkEY9OyGYuSJo/view?usp=drive_link,970.jpg,1
15,1,Positive,Early/Mid-Stage Symptoms,Presymptomatic,,Talking about the Future,"Your family loves to talk about big future life events like weddings and once-in-a-decade vacations. Recently, these conversations have made you feel uneasy, since you can't predict how your disease will progress. You consider withdrawing from these conversations, and ultimately decide that it's best if you communicate.",,"The next time your family is talking about a life event in the distant future, you will...",Tell them how you're feeling,Avoid the conversation,https://drive.google.com/file/d/1omKHdgjKmZEbKstt0wE-mH-LGU6LCt9i/view?usp=drive_link,207.jpg,"Your family loves to talk about big future life events like weddings and once-in-a-decade vacations. Recently, these conversations have made you feel uneasy, since you can't predict how your disease will progress. You consider withdrawing from these conversations, and ultimately decide that it's best if you communicate.",,"The next time your family is talking about a life event in the distant future, you will...",Tell them how you're feeling,Avoid the conversation,https://drive.google.com/file/d/1omKHdgjKmZEbKstt0wE-mH-LGU6LCt9i/view?usp=drive_link,207.jpg,1
,2,Positive,Early/Mid-Stage Symptoms,Presymptomatic,,Neighbor Chat,"You are chatting with a neighbor about their upcoming wedding plans, but you are having trouble concentrating and taking in the details of the conversation. Your neighbor notices and asks you if you are okay. You feel embarrassed, but you know they are asking because they care.",,Your neighbor is asking if you are okay because...,They care about you,They are offended,https://drive.google.com/file/d/1snNg1i7sa1gS0LSBMh9HHBb4v6SaKZj6/view?usp=drive_link,798.jpg,"You are chatting with a neighbor about their upcoming wedding plans, but you are having trouble concentrating and taking in the details of the conversation. Your neighbor notices and asks you if you are okay. You feel embarrassed, but you know they are asking because they care.",,Your neighbor is asking if you are okay because...,They care about you,They are offended,https://drive.google.com/file/d/1snNg1i7sa1gS0LSBMh9HHBb4v6SaKZj6/view?usp=drive_link,798.jpg,1
,3,Resilience/Negation,Early/Mid-Stage Symptoms,,,Record Store,"You decide to spend some of your free time at your favorite record store. You go to grab a vinyl out of the sleeve, and it slips out of your hands. Thinking that you might have just scratched the record makes you feel worried.",You give yourself a moment to breathe. You pick up the record and realize that it is fine.,"After taking a moment, you see that you...",Did not cause damage,Did cause damage,https://drive.google.com/file/d/1SjIKYzuulcqDKw6bi_pByPHHEITZHig1/view?usp=drive_link,799.jpg,"You decide to spend some of your free time at your favorite record store. You go to grab a vinyl out of the sleeve, and it slips out of your hands. Thinking that you might have just scratched the record makes you feel worried.",You give yourself a moment to breathe. You pick up the record and realize that it is fine.,"After taking a moment, you see that you...",Did not cause damage,Did cause damage,https://drive.google.com/file/d/1SjIKYzuulcqDKw6bi_pByPHHEITZHig1/view?usp=drive_link,799.jpg,1
,4,Negative,Early/Mid-Stage Symptoms,Presymptomatic,,Reality TV Confusion,,,,,,,,"You watch the same reality TV show with your daughter every week. During this week's episode, you start to make a comment about the host but can't think of his name. Your daughter glances at you with a look of concern. ",,Is your daughter worried because you forgot the host's name?,Yes,No,https://drive.google.com/file/d/1t346mkW3N6rdlFqvFS9uLDwvfso5tcLW/view?usp=drive_link,910.jpg,1
,5,Positive,Early/Mid-Stage Symptoms,,,Crossing the Street,"You are crossing the street to the grocery store when a car pulls up. You are worried they might judge you because you are taking a while to cross the street. You realize that regardless of what the driver thinks, all that matters is that you make it across the street safely.",,You realize that the most important thing is...,Your safety,The driver's opinion,https://drive.google.com/file/d/1cpt0cwf91ZRDIb1715hqYSDLMfLxp2js/view?usp=drive_link,801.jpg,"You are crossing the street to the grocery store when a car pulls up. You are worried they might judge you because you are taking a while to cross the street. You realize that regardless of what the driver thinks, all that matters is that you make it across the street safely.",,You realize that the most important thing is...,Your safety,The driver's opinion,https://drive.google.com/file/d/1cpt0cwf91ZRDIb1715hqYSDLMfLxp2js/view?usp=drive_link,801.jpg,1
,6,Positive,Early/Mid-Stage Symptoms,,,Planting Flowers ,"You are planting flowers in your garden with your spouse. Suddenly, you drop the flowers and cause dirt to spill all over the sidewalk. You know that accidents happen and that your spouse will understand.  ",,Your spouse will...,Be understanding,Be angry,https://drive.google.com/file/d/1L3griCr-7_6nzjzAQPsnKiibwF9km0H5/view?usp=drive_link,590.jpg,"You are planting flowers in your garden with your spouse. Suddenly, you drop the flowers and cause dirt to spill all over the sidewalk. You know that accidents happen and that your spouse will understand.  ",,Your spouse will...,Be understanding,Be angry,https://drive.google.com/file/d/1L3griCr-7_6nzjzAQPsnKiibwF9km0H5/view?usp=drive_link,590.jpg,1
,7,Positive,Early/Mid-Stage Symptoms,,,Feeling Unsteady,You are carrying a plate of food to your family at the dining table and begin to feel unsteady. You drop the plate of food on the ground as you reach for the counter to steady yourself. You know that it was an accident and that your family will be forgiving. ,,Your family will...,Forgive you,Be annoyed,https://drive.google.com/file/d/1LMu5hx07H0hyR66QFxn2hcxsfhAWyNGG/view?usp=drive_link,209.jpg,You are carrying a plate of food to your family at the dining table and begin to feel unsteady. You drop the plate of food on the ground as you reach for the counter to steady yourself. You know that it was an accident and that your family will be forgiving. ,,Your family will...,Forgive you,Be annoyed,https://drive.google.com/file/d/1LMu5hx07H0hyR66QFxn2hcxsfhAWyNGG/view?usp=drive_link,209.jpg,1
